Context,Training or test,Day,Video,Mouse number,Trial number,Floor zone (bout frequency),Approaching food zone (bout frequency),Sniffing food (bout frequency),Eating food (bout frequency),Number of transitions (sum of all frequencies),,Floor zone (sum of bout lengths in secs),Approaching food zone (sum of bout lengths in secs),Sniffing food (sum of bout lengths in secs),Eating food (sum of bout lengths in secs),Total time (sum of all bout lengths in secs)
Grey,Test,Day 1,"1,2,3,4.MP4",1,Trial     1,36,23,28,5,92,,495.162,23.023,58.923,22.89,599.998
,,,,2,Trial     2,31,14,29,5,79,,482.548,9.611,78.676,29.163,599.998
,,,,3,Trial     3,38,23,33,6,100,,498.233,14.547,70.402,16.816,599.998
,,,,4,Trial     4,25,14,20,2,61,,511.448,7.939,64.129,16.482,599.998
,,,"5,6,7,8.MP4",5,Trial     5,27,23,26,4,80,,488.619,14.351,69.001,28.027,599.998
,,,,6,Trial     6,36,24,31,2,93,,501.302,12.212,77.608,8.876,599.998
,,,,7,Trial     7,30,21,29,5,85,,467.53,9.745,109.109,13.614,599.998
,,,,8,Trial     8,42,25,38,5,110,,459.389,12.946,96.498,31.165,599.998
,,,"17,18,19,23.MP4",17,Trial     9,35,22,32,9,98,,387.718,10.811,117.717,83.752,599.998
,,,,18,Trial    10,34,22,37,11,104,,380.176,12.08,129.598,78.144,599.998
,,,,19,Trial    11,31,21,35,14,101,,327.529,13.676,161.496,97.297,599.998
,,,,23,Trial    12,41,25,42,11,119,,345.277,17.421,150.147,87.153,599.998
,,,"20,21,22,24.MP4",20,Trial    13,30,25,29,1,85,,492.889,16.412,88.495,2.202,599.998
,,,,21,Trial    14,34,30,28,2,94,,494.491,16.283,64.667,24.557,599.998
,,,,22,Trial    15,35,24,34,3,96,,481.278,10.881,87.485,20.354,599.998
,,,,24,Trial    16,11,9,10,0,30,,582.447,4.138,13.413,0,599.998
,,Day 2,"9,10,11,15.MP4",9,Trial    17,23,13,22,4,62,,457.588,6.473,77.077,58.86,599.998
,,,,10,Trial    18,33,19,33,6,91,,410.273,10.945,116.786,61.994,599.998
,,,,11,Trial    19,35,23,38,10,106,,407.607,10.876,116.916,64.599,599.998
,,,,15,Trial    20,42,18,44,8,112,,411.076,9.411,140.139,39.372,599.998
