Context,Training or test,Day,Video,Mouse number,Trial number,Walking (secs),Stationary (secs),Rearing (secs),Grooming (secs),Total (secs),,Walking (%),Stationary (%),Rearing (%),Grooming (%),Total (%)
Grey,Test,Day 1,"1,2,3,4.MP4",1,Trial     1,19.087,92.959,4.605,0,116.651,,16.36248296,79.68984406,3.947672973,0,100
,,,,2,Trial     2,14.486,195.26,5.741,2.936,218.423,,6.632085449,89.39534756,2.628386205,1.344180787,100
,,,,3,Trial     3,16.551,42.109,1.601,0,60.261,,27.46552497,69.87769868,2.656776356,0,100
,,,,4,Trial     4,12.877,55.653,5.873,0,74.403,,17.30709783,74.79940325,7.893498918,0,100
,,,"5,6,7,8.MP4",5,Trial     5,19.085,105.975,3.003,3.003,131.066,,14.56136603,80.85620985,2.291212061,2.291212061,100
,,,,6,Trial     6,20.018,54.52,7.542,0,82.08,,24.38840156,66.42300195,9.188596491,0,100
,,,,7,Trial     7,17.685,55.929,1.801,0,75.415,,23.45024199,74.16163893,2.388119074,0,100
,,,,8,Trial     8,22.556,51.85,6.272,0.201,80.879,,27.88857429,64.10811212,7.754794199,0.248519393,100
,,,"17,18,19,23.MP4",17,Trial     9,17.885,88.218,4.939,0.133,111.175,,16.08724983,79.35057342,4.442545536,0.119631212,100
,,,,18,Trial    10,20.354,81.746,1.868,0.667,104.635,,19.45238209,78.1249104,1.7852535,0.637454007,100
,,,,19,Trial    11,20.426,75.343,1.469,0,97.238,,21.006191,77.48308275,1.510726259,0,100
,,,,23,Trial    12,21.955,89.892,5.272,0.133,117.252,,18.7246273,76.66564323,4.496298571,0.113430901,100
,,,"20,21,22,24.MP4",20,Trial    13,19.685,85.555,3.671,0,108.911,,18.07439102,78.5549669,3.370642084,0,100
,,,,21,Trial    14,15.346,46.448,5.338,0.601,67.733,,22.65660756,68.57514063,7.880944296,0.887307516,100
,,,,22,Trial    15,18.751,103.972,2.535,2.603,127.861,,14.66514418,81.31642956,1.982621753,2.035804506,100
,,,,24,Trial    16,19.684,185.984,3.871,0,209.539,,9.393955302,88.75865591,1.847388792,0,100
,,Day 2,"9,10,11,15.MP4",9,Trial    17,12.347,162.358,3.737,5.275,183.717,,6.720662758,88.37396648,2.034106806,2.871263955,100
,,,,10,Trial    18,20.42,64.465,2.869,0,87.754,,23.26959455,73.46103881,3.269366639,0,100
,,,,11,Trial    19,18.817,66.402,3.404,0,88.623,,21.23263713,74.92637351,3.840989359,0,100
,,,,15,Trial    20,13.547,67.795,4.872,0,86.214,,15.71322523,78.63572042,5.651054353,0,100
,,,"12,13,14,16.MP4",12,Trial    21,12.01,41.639,2.471,0,56.12,,21.40057021,74.19636493,4.403064861,0,100
,,,,13,Trial    22,14.945,66.867,5.672,0,87.484,,17.08312377,76.43340497,6.483471263,0,100
,,,,14,Trial    23,22.224,48.177,3.736,0,74.137,,29.97693459,64.98374631,5.039319098,0,100
,,,,16,Trial    24,28.962,47.184,2.267,0,78.413,,36.93520207,60.17369569,2.891102241,0,100
,,,"25,26,27.MP4",25,Trial    25,15.217,83.952,4.338,0,103.507,,14.70142116,81.10755794,4.191020897,0,100
,,,,26,Trial    26,11.674,25.494,4.47,0,41.638,,28.03688938,61.22772467,10.73538595,0,100
,,,,27,Trial    27,13.146,151.947,4.405,5.071,174.569,,7.530546661,87.04122725,2.523357526,2.904868562,100
,,,"28,29,30.MP4",28,Trial    28,17.285,46.241,3.469,0,66.995,,25.80043287,69.02156877,5.177998358,0,100
,,,,29,Trial    29,19.42,151.42,17.215,1.402,189.457,,10.25034704,79.92314879,9.086494561,0.740009606,100
,,,,30,Trial    30,19.62,69.737,9.409,0,98.766,,19.86513578,70.6083065,9.526557722,0,100
,Training,Day 1,"training D1_1,2,3,4.MP4",1,Trial     1,27.962,82.551,10.008,0,120.521,,23.20093594,68.49511703,8.30394703,0,100
,,,,2,Trial     2,16.815,109.578,6.605,0,132.998,,12.64304726,82.39071264,4.966240094,0,100
,,,,3,Trial     3,19.95,108.375,3.67,0.4,132.395,,15.06854488,81.8573209,2.772008006,0.302126213,100
,,,,4,Trial     4,16.085,103.7,8.209,0,127.994,,12.56699533,81.01942279,6.413581887,0,100
,,,"training D1_9,10,11,15.MP4",9,Trial     5,11.278,55.189,1.201,0,67.668,,16.66666667,81.55849146,1.774841875,0,100
,,,,10,Trial     6,21.758,41.509,2.135,0,65.402,,33.26809578,63.46747806,3.264426164,0,100
,,,,11,Trial     7,19.283,60.058,1.067,1.602,82.01,,23.51298622,73.23253262,1.301060846,1.953420315,100
,,,,15,Trial     8,15.214,73.676,5.139,0,94.029,,16.18011465,78.35455019,5.465335163,0,100
,,,"training D1_17,18,19,23.MP4",17,Trial     9,21.488,89.088,7.141,0,117.717,,18.25394803,75.67980835,6.066243618,0,100
,,,,18,Trial    10,17.152,51.917,0,0,69.069,,24.83313788,75.16686212,0,0,100
,,,,19,Trial    11,16.948,108.574,1.068,0,126.59,,13.38810333,85.76822814,0.843668536,0,100
,,,,23,Trial    12,23.555,77.813,2.068,0,103.436,,22.77253567,75.22816041,1.999303917,0,100
,,,"training D1_25,26,27.MP4",25,Trial    13,12.014,45.509,2.602,2.669,62.794,,19.13240118,72.47348473,4.143707998,4.25040609,100
,,,,26,Trial    14,21.62,26.758,2.069,0,50.447,,42.85685967,53.04180625,4.101334073,0,100
,,,,27,Trial    15,19.552,109.178,5.204,12.812,146.746,,13.32370218,74.3993022,3.546263612,8.730732013,100
,,Day 3,"training D3_1,2,3,4.MP4",1,Trial    16,24.761,107.704,0.4,1.201,134.066,,18.46926141,80.33655065,0.298360509,0.895827428,100
,,,,2,Trial    17,17.883,159.157,2.203,0.601,179.844,,9.943617802,88.49725317,1.224950513,0.33417851,100
,,,,3,Trial    18,11.013,60.86,1.736,0,73.609,,14.96148569,82.68010705,2.35840726,0,100
,,,,4,Trial    19,22.622,42.912,6.475,0,72.009,,31.4155175,59.59255093,8.991931564,0,100
